dieharder -a -f ANU-QRNG-LiveStreamData-Formatted.txt 
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|ANU-QRNG-LiveStreamData-Formatted.txt|  7.06e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  18|   1000000|     100|0.59421522|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.57514558|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.05054941|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.19105431|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.51329342|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.71640636|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.66609618|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.98281234|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.91508672|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.47431869|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.70170746|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.51418052|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.64699896|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.20511657|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.36059448|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.74985842|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.31299768|  PASSED  
             dab_dct| 256|     50000|       1|0.73041632|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.55098315|  PASSED  
        dab_filltree|  32|  15000000|       1|0.83053665|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.75000161|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.57358711|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.33849507|  PASSED 
